asset_id,tool,profile,criterion,score_0_to_3_or_NA,assessor,evidence,claim_status
BL_AODAI_003,Blender 5.1.2,modern_ao_dai_documentary_test_slot,garment_components,2,author technical assessment; no cultural authority,declared proxy components remain present,"protocol demonstration, not expert validation"
BL_AODAI_003,Blender 5.1.2,modern_ao_dai_documentary_test_slot,silhouette_and_proportion,1,author technical assessment; no cultural authority,strong flared-hem perturbation conflicts with the baseline proportion declaration,"protocol demonstration, not expert validation"
BL_AODAI_003,Blender 5.1.2,modern_ao_dai_documentary_test_slot,sewing_pattern_plausibility,1,author technical assessment; no cultural authority,no validated sewing pattern or seam graph,"protocol demonstration, not expert validation"
BL_AODAI_003,Blender 5.1.2,modern_ao_dai_documentary_test_slot,material_and_drape,1,author technical assessment; no cultural authority,procedural material only,"protocol demonstration, not expert validation"
BL_AODAI_003,Blender 5.1.2,modern_ao_dai_documentary_test_slot,motif_and_texture,1,author technical assessment; no cultural authority,generic procedural ornament without object-level source,"protocol demonstration, not expert validation"
BL_AODAI_003,Blender 5.1.2,modern_ao_dai_documentary_test_slot,regional_period_consistency,NA,author technical assessment; no cultural authority,NA: no object-level regional-period source,"protocol demonstration, not expert validation"
BL_AODAI_003,Blender 5.1.2,modern_ao_dai_documentary_test_slot,wearing_context,NA,author technical assessment; no cultural authority,NA: no specialist context assessment,"protocol demonstration, not expert validation"
BL_AODAI_004,Blender 5.1.2,modern_ao_dai_documentary_test_slot,garment_components,1,author technical assessment; no cultural authority,short sleeves deliberately conflict with the baseline long-sleeve component declaration,"protocol demonstration, not expert validation"
BL_AODAI_004,Blender 5.1.2,modern_ao_dai_documentary_test_slot,silhouette_and_proportion,2,author technical assessment; no cultural authority,remaining silhouette is recognizable as the procedural proxy,"protocol demonstration, not expert validation"
BL_AODAI_004,Blender 5.1.2,modern_ao_dai_documentary_test_slot,sewing_pattern_plausibility,1,author technical assessment; no cultural authority,no validated sewing pattern or seam graph,"protocol demonstration, not expert validation"
BL_AODAI_004,Blender 5.1.2,modern_ao_dai_documentary_test_slot,material_and_drape,1,author technical assessment; no cultural authority,procedural material only,"protocol demonstration, not expert validation"
BL_AODAI_004,Blender 5.1.2,modern_ao_dai_documentary_test_slot,motif_and_texture,1,author technical assessment; no cultural authority,generic procedural ornament without object-level source,"protocol demonstration, not expert validation"
BL_AODAI_004,Blender 5.1.2,modern_ao_dai_documentary_test_slot,regional_period_consistency,NA,author technical assessment; no cultural authority,NA: no object-level regional-period source,"protocol demonstration, not expert validation"
BL_AODAI_004,Blender 5.1.2,modern_ao_dai_documentary_test_slot,wearing_context,NA,author technical assessment; no cultural authority,NA: no specialist context assessment,"protocol demonstration, not expert validation"
BL_AODAI_005,Blender 5.1.2,modern_ao_dai_documentary_test_slot,garment_components,2,author technical assessment; no cultural authority,declared proxy components remain present,"protocol demonstration, not expert validation"
BL_AODAI_005,Blender 5.1.2,modern_ao_dai_documentary_test_slot,silhouette_and_proportion,1,author technical assessment; no cultural authority,slim/high-slit perturbation conflicts with baseline proportions,"protocol demonstration, not expert validation"
BL_AODAI_005,Blender 5.1.2,modern_ao_dai_documentary_test_slot,sewing_pattern_plausibility,1,author technical assessment; no cultural authority,no validated sewing pattern or seam graph,"protocol demonstration, not expert validation"
BL_AODAI_005,Blender 5.1.2,modern_ao_dai_documentary_test_slot,material_and_drape,1,author technical assessment; no cultural authority,procedural material only,"protocol demonstration, not expert validation"
BL_AODAI_005,Blender 5.1.2,modern_ao_dai_documentary_test_slot,motif_and_texture,1,author technical assessment; no cultural authority,generic procedural ornament without object-level source,"protocol demonstration, not expert validation"
BL_AODAI_005,Blender 5.1.2,modern_ao_dai_documentary_test_slot,regional_period_consistency,NA,author technical assessment; no cultural authority,NA: no object-level regional-period source,"protocol demonstration, not expert validation"
BL_AODAI_005,Blender 5.1.2,modern_ao_dai_documentary_test_slot,wearing_context,NA,author technical assessment; no cultural authority,NA: no specialist context assessment,"protocol demonstration, not expert validation"
TSR_AODAI_001,TripoSR commit 107cefd,modern_ao_dai_documentary_test_slot,garment_components,1,author technical assessment; no cultural authority,single fused person-garment mesh; garment layers and closures are not separable,"protocol demonstration, not expert validation"
TSR_AODAI_001,TripoSR commit 107cefd,modern_ao_dai_documentary_test_slot,silhouette_and_proportion,2,author technical assessment; no cultural authority,front-view garment length and outline are recovered; unseen surfaces are inferred,"protocol demonstration, not expert validation"
TSR_AODAI_001,TripoSR commit 107cefd,modern_ao_dai_documentary_test_slot,sewing_pattern_plausibility,0,author technical assessment; no cultural authority,"no panels, seams, closures, or sewability evidence in reconstructed mesh","protocol demonstration, not expert validation"
TSR_AODAI_001,TripoSR commit 107cefd,modern_ao_dai_documentary_test_slot,material_and_drape,1,author technical assessment; no cultural authority,vertex appearance derives from one image and does not encode physical material,"protocol demonstration, not expert validation"
TSR_AODAI_001,TripoSR commit 107cefd,modern_ao_dai_documentary_test_slot,motif_and_texture,1,author technical assessment; no cultural authority,front pattern is partially visible but identity and placement cannot be verified in 3D,"protocol demonstration, not expert validation"
TSR_AODAI_001,TripoSR commit 107cefd,modern_ao_dai_documentary_test_slot,regional_period_consistency,NA,author technical assessment; no cultural authority,NA: image metadata is insufficient for regional-period validation,"protocol demonstration, not expert validation"
TSR_AODAI_001,TripoSR commit 107cefd,modern_ao_dai_documentary_test_slot,wearing_context,NA,author technical assessment; no cultural authority,NA: no specialist assessment of the photographed context,"protocol demonstration, not expert validation"
TSR_AODAI_002,TripoSR commit 107cefd,modern_ao_dai_documentary_test_slot,garment_components,1,author technical assessment; no cultural authority,single fused person-garment reconstruction; proxy layers remain non-separable,"protocol demonstration, not expert validation"
TSR_AODAI_002,TripoSR commit 107cefd,modern_ao_dai_documentary_test_slot,silhouette_and_proportion,2,author technical assessment; no cultural authority,controlled full-body input preserves the gross long-panel silhouette; unseen surfaces remain inferred,"protocol demonstration, not expert validation"
TSR_AODAI_002,TripoSR commit 107cefd,modern_ao_dai_documentary_test_slot,sewing_pattern_plausibility,0,author technical assessment; no cultural authority,"no panels, seams, closures, or sewability evidence","protocol demonstration, not expert validation"
TSR_AODAI_002,TripoSR commit 107cefd,modern_ao_dai_documentary_test_slot,material_and_drape,1,author technical assessment; no cultural authority,single-image appearance is not physical material evidence,"protocol demonstration, not expert validation"
TSR_AODAI_002,TripoSR commit 107cefd,modern_ao_dai_documentary_test_slot,motif_and_texture,1,author technical assessment; no cultural authority,rendered edge accents smear across fused geometry and are not verifiable motifs,"protocol demonstration, not expert validation"
TSR_AODAI_002,TripoSR commit 107cefd,modern_ao_dai_documentary_test_slot,regional_period_consistency,NA,author technical assessment; no cultural authority,NA: the procedural proxy has no expert-supported regional-period claim,"protocol demonstration, not expert validation"
TSR_AODAI_002,TripoSR commit 107cefd,modern_ao_dai_documentary_test_slot,wearing_context,NA,author technical assessment; no cultural authority,NA: no specialist context assessment,"protocol demonstration, not expert validation"
